T	XE	YE	ZE	DXE	DYE	DZE	DDXE	DDYE	DDZE
0.3	59	0	0	0	0	0	0.67	0	0
0.6	60	0	0	0.5	0	0	1.73	-0.01	0.01
1	61	0	0	1.1	0	0	2.1	-0.04	0.02
2	63	0	0	3.2	-0.1	0	2.18	-0.11	0.01
3	67	0	0	5.6	-0.2	0	2.23	-0.16	0.01
4	73	0	0	7.8	-0.4	0	2.28	-0.12	0.01
5	82	-1	0	10.2	-0.4	0	2.34	0.02	0
6	94	-1	0	12.6	-0.3	0.1	2.41	0.13	0.01
7	109	-2	0	17.6	0	0.1	2.57	0.18	0.01
8	124	-2	0	20	0.2	0.1	2.65	0.17	0.01
9	142	-1	1	22.7	0.4	0.1	2.71	0.21	0.01
10	164	-1	1	25.5	0.6	0.1	2.77	0.22	0.01
11	188	-1	1	28.2	0.8	0.1	2.84	0.14	0.01
12	215	0	1	31.1	0.9	0.1	2.89	0.05	0
13	245	1	1	34.1	0.9	0.1	2.95	-0.04	-0.01
14	277	2	1	34.1	0.9	0.1	2.95	-0.04	-0.01
15	313	3	1	37.1	0.8	0.1	3.01	-0.04	-0.01
16	351	3	1	42.1	0.8	0.2	3.07	0.01	0.04
17	393	4	2	43.2	0.9	0.2	3.13	0.05	0.09
18	439	5	2	46.4	0.9	0.3	3.19	0.07	0.13
19	486	6	2	49.6	1	0.5	3.26	0.05	0.17
20	537	7	3	52.9	1	0.7	3.34	0	0.2
21	592	8	4	56.3	1	0.9	3.41	-0.01	0.25
22	650	9	5	59.8	1	1.2	3.48	0	0.31
23	711	10	6	63.3	1	1.5	3.55	-0.01	0.36
24	776	11	8	66.9	1	1.9	3.63	-0.01	0.41
25	846	12	10	70.6	1	2.3	3.7	-0.01	0.47
26	917	13	12	74.3	1	2.8	3.78	-0.01	0.53
27	994	14	15	78.1	1	3.4	3.86	-0.02	0.6
28	1074	15	19	82	1	4	3.93	-0.02	0.67
29	1158	16	24	86.1	0.9	4.7	4.01	-0.02	0.75
30	1246	17	29	90	0.9	5.5	4.1	-0.03	0.84
31	1338	18	35	94.2	0.9	6.4	4.18	-0.03	0.93
32	1434	19	42	98.4	0.8	7.4	4.26	-0.04	1.04
33	1535	20	49	102.7	0.8	8.5	4.34	-0.05	1.15
34	1639	20	59	107.1	0.8	9.7	4.43	-0.05	1.26
35	1740	21	69	111.5	0.7	11	4.51	-0.05	1.38
36	1843	22	81	116.1	0.7	12.5	4.58	-0.05	1.5
37	1981	22	94	120.7	0.6	14	4.66	-0.04	1.63
38	2104	23	109	125.4	0.6	15.7	4.74	-0.04	1.76
39	2232	24	125	130.2	0.5	17.6	4.83	-0.03	1.9
40	2364	24	144	135.1	0.5	19.5	4.91	-0.04	2.04
41	2502	25	164	140	0.4	21.6	5	-0.05	2.19
42	2645	25	187	145.1	0.4	23.9	5.09	-0.05	2.35
43	2792	25	212	150.2	0.3	26.3	5.17	-0.06	2.51
44	2945	26	240	155.4	0.3	28.9	5.25	-0.07	2.68
